entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ENTIDADFINANCIERA","Entidad financiera","Entidad financiera","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","028","B","","",""
"ENTREGADEMERCADERIAS","Entrega de mercaderías","Entrega de mercaderías","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","EMC","B","","",""
"EQUIVALENCIA","Equivalencias","Equivalencias","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"TBD","CBA","B","","",""
"ESTADOCONTROLADORFISCAL","Estado de los controladores fiscales","Estado de los controladores fiscales","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"","140","B","transform(this.PuntoDeVenta)+" "+transform(this.Comprobante)+" "+transform(this.TieneError)","",""
"ESTADOSDEINTERACCION","Estados de interacción","Estados de interacción","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EDI","B","","",""
"ETIQUETASECOMMERCE","Etiquetas ecommerce","Etiquetas ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","ETE","B","","",""
"EXPRESIONLISTADOPERSONALIZADO","Expresión listado personalizado","Expresión listado personalizado","","",7.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"","ELP","SUIOPTQDGHJKLMWN","","",""
"Ecommerce","Plataformas de ecommerce","Plataformas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","ECO","B","","",""
"EnvioDeMensajeria","Envío de mensajería a eCommerce","Envío de mensajería a eCommerce","","",0.00,0,0,T,"E",2,"","",0,"",T,F,"","EME","B","","",""
"ErroresCFibm4610kc4","Controlador fiscal IBM 4610 KC4","Controlador fiscal IBM 4610 KC4","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"W","KC4","B","","",""
"Estiloimpresion","Estilo de impresión","Estilo de impresión","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","ESI","B","","",""
